Tanggal;Keterangan;Pengeluaran
2021-05-25;Pembelian Pakan;10666723
2021-05-25;Operasional;3000000
2021-05-25;Gaji Karyawan;5000000
2021-06-25;Pembelian Pakan;10178455
2021-06-25;Operasional;3000000
2021-06-25;Gaji Karyawan;5000000
2021-07-25;Pembelian Pakan;13970495
2021-07-25;Operasional;3000000
2021-07-25;Gaji Karyawan;5000000
2021-08-25;Pembelian Pakan;9586500
2021-08-25;Operasional;3000000
2021-08-25;Gaji Karyawan;5000000
2021-09-25;Pembelian Pakan;10849038
2021-09-25;Operasional;3000000
2021-09-25;Gaji Karyawan;5000000
2021-10-25;Pembelian Pakan;12837230
2021-10-25;Operasional;3000000
2021-10-25;Gaji Karyawan;5000000
2021-11-25;Pembelian Pakan;11408950
2021-11-25;Operasional;3000000
2021-11-25;Gaji Karyawan;5000000
2021-12-25;Pembelian Pakan;12117718
2021-12-26;Operasional;3000000
2021-12-27;Gaji Karyawan;5000000
2022-01-25;Pembelian Pakan;11045125
2022-01-25;Operasional;3000000
2022-01-25;Gaji Karyawan;5000000
2022-02-25;Pembelian Pakan;10282195
2022-02-25;Operasional;3000000
2022-02-25;Gaji Karyawan;5000000
2022-03-25;Pembelian Pakan;11532955
2022-03-25;Operasional;3000000
2022-03-25;Gaji Karyawan;5000000
2022-04-25;Pembelian Pakan;12232028
2022-04-26;Operasional;3000000
2022-04-27;Gaji Karyawan;5000000
