Tanggal ;Jumlah_Pakan ;Nama_Komposisi_Pakan
2021-05-08;50;Komposisi I
2021-05-09;50;Komposisi I
2021-05-10;50;Komposisi I
2021-05-11;50;Komposisi I
2021-05-12;50;Komposisi I
2021-05-13;50;Komposisi I
2021-05-14;50;Komposisi I
2021-05-15;50;Komposisi I
2021-05-16;50;Komposisi I
2021-05-17;50;Komposisi I
2021-05-18;50;Komposisi I
2021-05-19;50;Komposisi I
2021-05-20;50;Komposisi I
2021-05-21;50;Komposisi I
2021-05-22;50;Komposisi I
2021-05-23;50;Komposisi I
2021-05-24;50;Komposisi I
2021-05-25;50;Komposisi I
2021-05-26;50;Komposisi I
2021-05-27;50;Komposisi I
2021-05-28;50;Komposisi I
2021-05-29;50;Komposisi I
2021-05-30;50;Komposisi I
2021-05-31;50;Komposisi I
2021-06-01;50;Komposisi II
2021-06-02;50;Komposisi II
2021-06-03;50;Komposisi II
2021-06-04;50;Komposisi II
2021-06-05;50;Komposisi II
2021-06-06;50;Komposisi II
2021-06-07;50;Komposisi II
2021-06-08;50;Komposisi II
2021-06-09;50;Komposisi II
2021-06-10;50;Komposisi II
2021-06-11;50;Komposisi II
2021-06-12;50;Komposisi II
2021-06-13;50;Komposisi II
2021-06-14;50;Komposisi II
2021-06-15;50;Komposisi II
2021-06-16;50;Komposisi II
2021-06-17;50;Komposisi II
2021-06-18;50;Komposisi II
2021-06-19;50;Komposisi II
2021-06-20;50;Komposisi II
2021-06-21;50;Komposisi II
2021-06-22;50;Komposisi II
2021-06-23;50;Komposisi II
2021-06-24;50;Komposisi II
2021-06-25;50;Komposisi II
2021-06-26;50;Komposisi II
2021-06-27;50;Komposisi II
2021-06-28;50;Komposisi II
2021-06-29;50;Komposisi II
2021-06-30;50;Komposisi II
2021-07-01;50;Komposisi III
2021-07-02;50;Komposisi III
2021-07-03;50;Komposisi III
2021-07-04;50;Komposisi III
2021-07-05;50;Komposisi III
2021-07-06;50;Komposisi III
2021-07-07;50;Komposisi III
2021-07-08;50;Komposisi III
2021-07-09;50;Komposisi III
2021-07-10;50;Komposisi III
2021-07-11;50;Komposisi III
2021-07-12;50;Komposisi III
2021-07-13;50;Komposisi III
2021-07-14;50;Komposisi III
2021-07-15;50;Komposisi III
2021-07-16;50;Komposisi III
2021-07-17;50;Komposisi III
2021-07-18;50;Komposisi III
2021-07-19;50;Komposisi III
2021-07-20;50;Komposisi III
2021-07-21;50;Komposisi III
2021-07-22;50;Komposisi III
2021-07-23;50;Komposisi III
2021-07-24;50;Komposisi III
2021-07-25;50;Komposisi III
2021-07-26;50;Komposisi III
2021-07-27;50;Komposisi III
2021-07-28;50;Komposisi III
2021-07-29;50;Komposisi III
2021-07-30;50;Komposisi III
2021-07-31;50;Komposisi III
2021-08-01;50;Komposisi IV
2021-08-02;50;Komposisi IV
2021-08-03;50;Komposisi IV
2021-08-04;50;Komposisi IV
2021-08-05;50;Komposisi IV
2021-08-06;50;Komposisi IV
2021-08-07;50;Komposisi IV
2021-08-08;50;Komposisi IV
2021-08-09;50;Komposisi IV
2021-08-10;50;Komposisi IV
2021-08-11;50;Komposisi IV
2021-08-12;50;Komposisi IV
2021-08-13;50;Komposisi IV
2021-08-14;50;Komposisi IV
2021-08-15;50;Komposisi IV
2021-08-16;50;Komposisi IV
2021-08-17;50;Komposisi IV
2021-08-18;50;Komposisi IV
2021-08-19;50;Komposisi IV
2021-08-20;50;Komposisi IV
2021-08-21;50;Komposisi IV
2021-08-22;50;Komposisi IV
2021-08-23;50;Komposisi IV
2021-08-24;50;Komposisi IV
2021-08-25;50;Komposisi IV
2021-08-26;50;Komposisi IV
2021-08-27;50;Komposisi IV
2021-08-28;50;Komposisi IV
2021-08-29;50;Komposisi IV
2021-08-30;50;Komposisi IV
2021-08-31;50;Komposisi IV
2021-09-01;50;komposisi I
2021-09-02;50;komposisi I
2021-09-03;50;komposisi I
2021-09-04;50;komposisi I
2021-09-05;50;komposisi I
2021-09-06;50;komposisi I
2021-09-07;50;komposisi I
2021-09-08;50;komposisi I
2021-09-09;50;komposisi I
2021-09-10;50;komposisi I
2021-09-11;50;komposisi I
2021-09-12;50;komposisi I
2021-09-13;50;komposisi I
2021-09-14;50;komposisi I
2021-09-15;50;komposisi I
2021-09-16;50;komposisi I
2021-09-17;50;komposisi I
2021-09-18;50;komposisi I
2021-09-19;50;komposisi I
2021-09-20;50;komposisi I
2021-09-21;50;komposisi I
2021-09-22;50;komposisi I
2021-09-23;50;komposisi I
2021-09-24;50;komposisi I
2021-09-25;50;komposisi I
2021-09-26;50;komposisi I
2021-09-27;50;komposisi I
2021-09-28;50;komposisi I
2021-09-29;50;komposisi I
2021-09-30;50;komposisi I
2021-10-01;50;Komposisi II
2021-10-02;50;Komposisi II
2021-10-03;50;Komposisi II
2021-10-04;50;Komposisi II
2021-10-05;50;Komposisi II
