Tanggal;Pemasukan;Pengeluaran;Saldo;untung/rugi
2021-05-25;26669800;18666723;8003078;8003078
2021-06-25;68773399;18178455;50594944;58598022
2021-07-25;42386814;21970495;20416319;79014341
2021-08-25;44954411;17586500;27367911;106382252
2021-09-25;48064737;18849038;29215700;135597951
2021-10-25;45254203;20837230;24416973;160014924
2021-11-25;51347889;19408950;31938939;191953863
2021-12-25;47145601;20117718;27027884;218981747
2022-01-25;40679855;19045125;21634730;240616477
2022-02-25;49974763;18282195;31692568;272309045
2022-03-25;42100963;19532955;22568008;294877053
2022-04-25;43344685;20232028;23112658;317989710
