Tanggal;Jumlah_Butir ;Jumlah_Berat_Butir;Jumlah_Ayam 
2021-05-08;841;44;1240
2021-05-09;884;46;1240
2021-05-10;914;49;1238
2021-05-11;971;52;1238
2021-05-12;1009;53;1238
2021-05-13;1035;55;1238
2021-05-14;1084;58;1238
2021-05-15;1090;59;1238
2021-05-16;1123;61;1238
2021-05-17;1150;63;1238
2021-05-18;1156;64;1238
2021-05-19;1175;65;1238
2021-05-20;1191;66;1238
2021-05-21;1209;67;1238
2021-05-22;1209;67;1238
2021-05-23;1231;68;1238
2021-05-24;1217;68;1238
2021-05-25;1221;68;1238
2021-05-26;1228;69;1238
2021-05-27;1243;70;1238
2021-05-28;1232;68;1238
2021-05-29;1233;69;1238
2021-05-30;1247;70;1238
2021-05-31;1266;70;1238
2021-06-01;1243;71;1238
2021-06-02;1249;71;1238
2021-06-03;1249;71;1238
2021-06-04;1254;71;1238
2021-06-05;1252;71;1238
2021-06-06;1260;72;1238
2021-06-07;1261;72;1238
2021-06-08;1238;71;1238
2021-06-09;1252;72;1238
2021-06-10;1261;66;1238
2021-06-11;1266;66;1238
2021-06-12;1290;67;1238
2021-06-13;1144;60;1238
2021-06-14;1287;67;1238
2021-06-15;1207;63;1238
2021-06-16;1224;64;1238
2021-06-17;1205;63;1238
2021-06-18;1160;61;1238
2021-06-19;1179;62;1238
2021-06-20;1384;72;1238
2021-06-21;1297;68;1238
2021-06-22;1299;68;1238
2021-06-23;1260;66;1238
2021-06-24;1231;64;1238
2021-06-25;1124;59;1238
2021-06-26;1412;74;1238
2021-06-27;1349;71;1238
2021-06-28;1383;72;1238
2021-06-29;1140;60;1238
2021-06-30;1121;59;1238
2021-07-01;1260;66;1238
2021-07-02;1202;63;1238
2021-07-03;1225;64;1238
2021-07-04;1155;60;1238
2021-07-05;1417;74;1238
2021-07-06;1163;61;1238
2021-07-07;1204;63;1238
2021-07-08;1358;71;1238
2021-07-09;1310;68;1238
2021-07-10;1368;72;1238
2021-07-11;1148;60;1238
2021-07-12;1134;59;1238
2021-07-13;1256;66;1238
2021-07-14;1420;74;1238
2021-07-15;1283;67;1238
2021-07-16;1316;69;1238
2021-07-17;1218;64;1238
2021-07-18;1161;61;1238
2021-07-19;1198;63;1238
2021-07-20;1148;60;1238
2021-07-21;1266;66;1238
2021-07-22;1140;60;1237
2021-07-23;1397;73;1237
2021-07-24;1290;67;1237
2021-07-25;1363;71;1237
2021-07-26;1281;67;1237
2021-07-27;1308;68;1237
2021-07-28;1141;60;1237
2021-07-29;1260;66;1237
2021-07-30;1164;61;1237
2021-07-31;1296;68;1237
2021-08-01;1163;61;1237
2021-08-02;1382;72;1237
2021-08-03;1383;72;1237
2021-08-04;1260;66;1237
2021-08-05;1131;59;1237
2021-08-06;1401;73;1237
2021-08-07;1343;70;1237
2021-08-08;1224;64;1237
2021-08-09;1197;63;1237
2021-08-10;1176;61;1237
2021-08-11;1223;64;1237
2021-08-12;1260;66;1237
2021-08-13;1212;63;1237
2021-08-14;1192;62;1237
2021-08-15;1384;72;1237
2021-08-16;1291;67;1237
2021-08-17;1115;58;1236
2021-08-18;1384;72;1236
2021-08-19;1151;60;1236
2021-08-20;1132;59;1236
2021-08-21;1325;69;1236
2021-08-22;1205;63;1236
2021-08-23;1283;67;1235
2021-08-24;1274;67;1235
2021-08-25;1184;62;1235
2021-08-26;1301;68;1235
2021-08-27;1236;65;1235
2021-08-28;1153;60;1235
2021-08-29;1174;61;1235
2021-08-30;1229;64;1235
2021-08-31;1118;58;1235
2021-09-01;1268;66;1235
2021-09-02;1112;58;1235
2021-09-03;1381;72;1235
2021-09-04;1138;59;1235
2021-09-05;1377;72;1235
2021-09-06;1168;61;1235
2021-09-07;1335;70;1235
2021-09-08;1247;65;1235
2021-09-09;1285;67;1235
2021-09-10;1373;72;1235
2021-09-11;1312;69;1235
2021-09-12;1295;68;1235
2021-09-13;1288;67;1235
2021-09-14;1312;69;1235
2021-09-15;1129;59;1235
2021-09-16;1206;63;1235
2021-09-17;1388;73;1235
2021-09-18;1266;66;1235
2021-09-19;1366;71;1235
